розділ;стара адреса;заголовок;слів;нова адреса;впевненість;коментар
category;/uk/preparaty;Стимулятори і регулятори росту рослин;843;/preparaty;точний;
diagram;/uk/bahchevye-kultury;Баштанні культури;193;/kultury/bashtanni-kultury;точний;
diagram;/uk/baklazhan;Баклажан;188;/kultury/baklazhan;точний;
diagram;/uk/buryak;Буряк столовий;193;/kultury/buriak-stolovyi;точний;
diagram;/uk/cvetochnye-kultury;Квіткові культури;193;/kultury/kvitkovi-kultury;точний;
diagram;/uk/goroh;Горох;188;/kultury/horokh;точний;
diagram;/uk/kapusta;Капуста;191;/kultury/kapusta;точний;
diagram;/uk/kartofel;Картопля;191;/kultury/kartoplia;точний;
diagram;/uk/klubnika2;Полуниця;191;/kultury/polunytsia;точний;
diagram;/uk/kostochkovye-kultury;Кісточкові культури;193;/kultury/kistochkovi-kultury;точний;
diagram;/uk/kukuruza;Кукурудза;188;/kultury/kukurudza;точний;
diagram;/uk/luk;Цибуля;188;/kultury/tsybulia;точний;
diagram;/uk/malina;Малина;191;/kultury/malyna;точний;
diagram;/uk/morkov;Морква;191;/kultury;розділ;культури немає в новому сайті
diagram;/uk/ogurec;Огірок;191;/kultury/ohirok;точний;
diagram;/uk/perec;Перець;188;/kultury/perets;точний;
diagram;/uk/podsolnuh;Соняшник;188;/kultury/soniashnyk;точний;
diagram;/uk/raps;Ріпак;188;/kultury/ripak;точний;
diagram;/uk/seeds;Зерняткові;191;/kultury/zerniatkovi;точний;
diagram;/uk/soya;Соя;188;/kultury/soia;точний;
diagram;/uk/svekla-saharnaya;Буряк цукровий;190;/kultury/buriak-tsukrovyi;точний;
diagram;/uk/tehno-shemi;Технологічні схеми;190;/kultury;точний;
diagram;/uk/tomat;Томат;188;/kultury/tomat;точний;
diagram;/uk/vinograd;Виноград;191;/kultury/vynohrad;точний;
diagram;/uk/zernovyeja-kultury;Зернові культури;190;/kultury/zernovi-kultury;точний;
information;;Про компанію;450;/about;точний;
information;/index.php?route=information/information&information_id=100;21-22 лютого у Львові відбувся масштабний форум - ДЕНЬ АГРОНОМА;237;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=101;29 лютого 2024 року в Києві відбулася конференція, присвячена технологіям вирощування ягід;419;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=102;15 березня 2024 р. компанія Родоніт Агро прийняла участь в агрофорумі аграріїв Слобожанщин;262;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=103;Застосування мідьвмісного фунгіциду Нордокс 75 у баковій суміші з прилипачем на основі мін;214;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=104;4 липня 2024 р. в Києві проводиться конференція «Успішне садівництво і переробка: кісточко;261;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=105;Як боротися з курчавістю персика, за допомогою препарату Нордокс 75;200;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
information;/index.php?route=information/information&information_id=106;Найкращі препарати на агроринку України від компанії «Родоніт Агро;186;;ПОТРЕБУЄ РІШЕННЯ;інфосторінка — вирішує замовник
